bird_name,scientific_name,family,at_a_glance,conservation_status,habitat,url
European Starling,Sturnus vulgaris,,"Often regarded as a pest, the European Starling wins our grudging admiration for its adaptability, toughness, and seeming intelligence. Brought to North America in 1890, it has spread to occupy most of the continent, and is now abundant in many areas. Sociable at most seasons, starlings may gather in immense flocks in fall and winter. When the flocks break up for the breeding season, males reveal a skill for mimicry, interrupting their wheezing and sputtering songs with perfect imitations of other birds.",Least Concern,"Arroyos and Canyons, Coasts and Shorelines, Desert and Arid Habitats, Fields, Meadows, and Grasslands, Forests and Woodlands, Landfills and Dumps, Saltwater Wetlands, Shrublands, Savannas, and Thickets, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/european-starling
Barn Swallow,Hirundo rustica,,"One of our most familiar birds in rural areas and semi-open country, this swallow is often seen skimming low over fields with a flowing, graceful flight. It seems to have adopted humans as neighbors, typically placing its nest in barns or garages, or under bridges or wharves; indeed, it is now rare to find a Barn Swallow nest in a site that is not manmade. The species is also common across Europe and Asia, wintering to southern Africa and South America.",Least Concern,"Coasts and Shorelines, Fields, Meadows, and Grasslands, Freshwater Wetlands, High Mountains, Lakes, Ponds, and Rivers, Saltwater Wetlands, Shrublands, Savannas, and Thickets, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/barn-swallow
Scarlet Tanager,Piranga olivacea,,"Male Scarlet Tanagers seem almost too bright and exotic for northeastern woodlands. These birds are fairly common in oak forests in summer, but they often remain out of sight as they forage in the leafy upper branches. Sometimes in spring, when the Scarlet Tanagers have just arrived from their winter home in South America, a late freeze will force them out in the open as they search for insects on roadsides or in gardens.",Least Concern,"Forests and Woodlands, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/scarlet-tanager
Common Grackle,Quiscalus quiscula,,"Throughout the east and midwest, this big blackbird is a very familiar species on suburban lawns, striding about with deliberate steps as it searches for insects. Common Grackles often nest in small colonies, and several males may perch in adjacent treetops to sing their creaking, grating songs. Big flocks are often seen flying overhead in the evening, heading for major communal roosts, especially from late summer through winter.",Near Threatened,"Coasts and Shorelines, Fields, Meadows, and Grasslands, Forests and Woodlands, Freshwater Wetlands, Lakes, Ponds, and Rivers, Landfills and Dumps, Shrublands, Savannas, and Thickets, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/common-grackle
Canada Goose,Branta canadensis,,"This big 'Honker' is among our best-known waterfowl. In many regions, flights of Canada Geese passing over in V-formation -- northbound in spring, southbound in fall -- are universally recognized as signs of the changing seasons. Once considered a symbol of wilderness, this goose has adapted well to civilization, nesting around park ponds and golf courses; in a few places, it has even become something of a nuisance. Local forms vary greatly in size, and the smallest ones are now regarded as a separate species, Cackling Goose.",Least Concern,"Coasts and Shorelines, Fields, Meadows, and Grasslands, Freshwater Wetlands, Lakes, Ponds, and Rivers, Saltwater Wetlands, Tundra and Boreal Habitats, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/canada-goose
Tufted Titmouse,Baeolophus bicolor,,"This rather tame, active, crested little bird is common all year in eastern forests, where its whistled peter-peter-peter song may be heard even during mid-winter thaws. It is related to the chickadees, and like them it readily comes to bird feeders, often carrying away sunflower seeds one at a time. Feeders may be helping it to expand its range: in recent decades, Tufted Titmice have been steadily pushing north.",Least Concern,"Forests and Woodlands, Freshwater Wetlands, Shrublands, Savannas, and Thickets, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/tufted-titmouse
Double-crested Cormorant,Nannopterum auritum,,"This dark, long-bodied diving bird floats low in the water with its thin neck and bill raised; perches upright near water with wings half-spread to dry. The Double-Crested Cormorant (which rarely looks noticeably crested in the field) is the most generally distributed cormorant in North America, and the only one likely to be seen inland in most areas.",Least Concern,"Coasts and Shorelines, Freshwater Wetlands, Lakes, Ponds, and Rivers, Open Ocean, Saltwater Wetlands",https://www.audubon.org/field-guide/bird/double-crested-cormorant
Purple Finch,Haemorhous purpureus,,"Not really purple, more of an old-rose color is the male Purple Finch. This species is common in the North and East, and along the Pacific seaboard, but it is very rare in much of the Rocky Mountains region. Purple Finches feed up in trees and on the ground in open woods. They readily come to bird feeders; but they have become less numerous as feeder visitors in the Northeast, where competition with introduced House Sparrows and then House Finches may have driven them back into the woods.",Least Concern,"Forests and Woodlands, High Mountains, Shrublands, Savannas, and Thickets, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/purple-finch
Rose-breasted Grosbeak,Pheucticus ludovicianus,,"In leafy woodlands of the East, the Rose-breasted Grosbeak often stays out of sight among the treetops. However, its song -- rich whistled phrases, like an improved version of the American Robin's voice -- is heard frequently in spring and summer. Where the range of this species overlaps with that of the Black-headed Grosbeak on the Great Plains, the two sometimes interbreed.",Least Concern,"Forests and Woodlands, Shrublands, Savannas, and Thickets, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/rose-breasted-grosbeak
Northern Harrier,Circus hudsonius,,"Parts of Europe and Asia have several kinds of harriers, but North America has only one. Harriers are very distinctive hawks, long-winged and long-tailed, usually seen quartering low over the ground in open country. At close range, the face of our Northern Harrier looks rather like that of an owl; like an owl (and unlike most other hawks) it may rely on its keen hearing to help it locate prey as it courses low over the fields.",Least Concern,"Coasts and Shorelines, Fields, Meadows, and Grasslands, Freshwater Wetlands, Saltwater Wetlands, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/northern-harrier
Common Loon,Gavia immer,,"A long-bodied, low-slung diver. Many people consider the loon a symbol of wilderness; its rich yodeling and moaning calls, heard by day or night, are characteristic sounds of early summer in the north woods. In winter, silent and more subtly marked, Common Loons inhabit coastal waters and large southern lakes. In such places they are solitary while feeding, but may gather in loose flocks at night.",Least Concern,"Coasts and Shorelines, Forests and Woodlands, Lakes, Ponds, and Rivers, Open Ocean, Saltwater Wetlands, Tundra and Boreal Habitats",https://www.audubon.org/field-guide/bird/common-loon
Painted Bunting,Passerina ciris,,"Sometimes called the 'Nonpareil,' meaning 'unrivalled,' a fair way to describe the unbelievable colors of the male Painted Bunting. This species is locally common in the Southeast, around brushy areas and woodland edges. It is often secretive, staying low in dense cover. However, males sing their bright warbling songs from higher in the trees, partly hidden among foliage or sometimes out in the sun on an exposed perch. Some lucky Floridians have Painted Buntings coming to their bird feeders in winter.",Least Concern,"Fields, Meadows, and Grasslands, Forests and Woodlands, Freshwater Wetlands, Shrublands, Savannas, and Thickets, Urban and Suburban Habitats",https://www.audubon.org/field-guide/bird/painted-bunting
Bar-tailed Godwit,Limosa lapponica,,"Widespread in summer across northern Europe and Asia, this godwit also crosses the Bering Strait to nest in western Alaska. Big, noisy, and cinnamon-colored, it is conspicuous on its tundra nesting grounds. Bar-tailed Godwits from Alaska spend the winter in the Old World. A few may show up on either coast of North America in migration; such strays, in dull winter plumage, often associate with flocks of other godwits, where they are easily overlooked.",Near Threatened,"Coasts and Shorelines, Freshwater Wetlands, Lakes, Ponds, and Rivers, Saltwater Wetlands, Tundra and Boreal Habitats",https://www.audubon.org/field-guide/bird/bar-tailed-godwit
Wild Turkey,Meleagris gallopavo,,"Benjamin Franklin would have preferred to have the Wild Turkey, not the Bald Eagle, chosen as the national symbol of the United States. Wary and magnificent, Wild Turkeys usually get around by walking or running, but they can fly strongly, and they typically roost overnight in tall trees. Turkeys were formerly considered to belong to a separate family from other chicken-like birds; there are only two species, ours in North America and the Ocellated Turkey in Central America.",Least Concern,"Fields, Meadows, and Grasslands, Forests and Woodlands, Freshwater Wetlands, Shrublands, Savannas, and Thickets",https://www.audubon.org/field-guide/bird/wild-turkey
